name,price,year,mileage,engine,transmission
Volkswagen Polo,"£3,495",2010,"83,000 miles",Diesel,Manual
Volkswagen Caddy,"£6,495",2011,"160,000 miles",Diesel,Manual
Skoda Fabia,"£4,190",2011,"51,000 miles",Petrol,Manual
Nissan NV200,"£4,690",2010,"107,000 miles",Diesel,Manual
Ford Transit,"£3,995",2005,"93,949 miles",Diesel,Manual
Citroen Berlingo,"£5,985",2010,"46,000 miles",Diesel,Manual
Audi A4,"£4,499",2012,"138,000 miles",Diesel,Manual
Audi A4,"£5,999",2010,"103,000 miles",Diesel,Manual
MINI Hatch,"£12,495",2015,"47,074 miles",Petrol,Automatic
Ford Focus,"£4,495",2011,"97,289 miles",Petrol,Manual
Ford Focus,"£5,295",2011,"68,594 miles",Diesel,Manual
Peugeot 207 SW,"£3,495",2012,"76,182 miles",Petrol,Manual
Ford Focus,"£6,995",2013,"66,123 miles",Diesel,Manual
Nissan Navara,"£14,500",2017,"114,500 miles",Diesel,Automatic
Vauxhall Insignia,"£4,995",2015,"112,500 miles",Diesel,Manual
Ford Transit Connect,"£5,000",2016,"188,500 miles",Diesel,Manual
Nissan Navara,"£14,500",2016,"130,000 miles",Diesel,Automatic
BMW 5 Series,"£7,995",2015,"145,500 miles",Diesel,Manual
Toyota Auris,"£12,995",2016,"84,131 miles",Hybrid,Automatic
Land Rover Range Rover Sport,"£17,000",2013,"93,529 miles",Diesel,Automatic
Land Rover Range Rover Sport,"£22,400",2012,"56,243 miles",Diesel,Automatic
Ford Ka,"£4,000",2012,"22,886 miles",Petrol,Manual
Land Rover Range Rover Evoque,"£14,600",2013,"95,431 miles",Diesel,Manual
MINI Hatch,"£8,000",2010,"54,711 miles",Petrol,Manual
Mercedes-Benz GLE Class,"£28,900",2016,"81,000 miles",Diesel,Automatic
Volkswagen Polo,"£9,950",2015,"45,359 miles",Petrol,Automatic
BMW 3 Series,"£19,000",2016,"81,812 miles",Diesel,Automatic
Land Rover Range Rover Evoque,"£26,000",2015,"20,040 miles",Diesel,Automatic
Audi A4 Avant,"£9,500",2017,"158,109 miles",Diesel,Manual
Honda CR-V,"£5,000",2010,"135,433 miles",Diesel,Manual
SKODA Octavia,"£4,200",2010,"77,583 miles",Petrol,Manual
Land Rover Freelander 2,"£6,500",2008,"97,686 miles",Diesel,Manual
Audi A3 Cabriolet,"£7,500",2013,"100,820 miles",Diesel,Manual
Audi A3,"£21,000",2017,"29,803 miles",Petrol,Manual
Honda CR-V,"£4,000",2012,"178,375 miles",Diesel,Manual
Mazda MX-5,"£9,000",2010,"63,489 miles",Petrol,Manual
Vauxhall Corsa,"£4,500",2014,"54,726 miles",Petrol,Manual
Ford Transit Custom,"£8,445",2014,"119,835 miles",Diesel,Manual
Ford Transit Custom,"£8,245",2014,"124,177 miles",Diesel,Manual
Citroen Dispatch,"£7,495",2015,"113,305 miles",Diesel,Manual
Audi Q7,"£18,495",2013,"84,000 miles",Diesel,Automatic
Nissan Qashqai,"£9,995",2012,"71,817 miles",Petrol,Automatic
Mercedes-Benz C Class,"£17,995",2015,"25,000 miles",Petrol,Automatic
